arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
great_tables/_gt_data.py,funcao,_transforms,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_options,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_google_font_imports,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_has_built,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,from_data,2,8,5,10,10,15,26.0,49.8289,1.25,62.2862,3.4603,0.0166
great_tables/_gt_data.py,funcao,__init__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,__getitem__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,__len__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,__repr__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,__eq__,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
great_tables/_gt_data.py,funcao,render_formats,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
great_tables/_gt_data.py,funcao,copy,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,from_empty,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,__post_init__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,replace_column_label,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,visible,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,is_stub,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,defaulted_align,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,__new__,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_gt_data.py,funcao,__getnewargs__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,set_stub_cols,4,8,6,12,12,18,32.0,64.5293,3.0,193.588,10.7549,0.0215
great_tables/_gt_data.py,funcao,_set_cols_info_type,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,set_cols_hidden,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,set_cols_unhidden,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,align_from_data,4,10,5,10,14,15,41.2193,57.1103,2.0,114.2206,6.3456,0.019
great_tables/_gt_data.py,funcao,vars_from_type,1,1,1,2,2,3,0,3.0,1.0,3.0,0.1667,0.001
great_tables/_gt_data.py,funcao,reorder,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_gt_data.py,funcao,final_columns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,_get_columns,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_get_column_labels,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_set_column_labels,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,_set_column_aligns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,_get_column_widths,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_get_default_columns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_gt_data.py,funcao,_get_stub_column,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
