arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
great_tables/_formats.py,funcao,_get_duration_patterns,5,13,8,16,18,24,59.7154,100.0782,3.0769,307.9329,17.1074,0.0334
great_tables/_formats.py,funcao,_get_plural_form,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
great_tables/_formats.py,funcao,_apply_duration_pattern,3,9,7,14,12,21,33.2842,75.2842,2.3333,175.6632,9.7591,0.0251
great_tables/_formats.py,funcao,fmt_duration,10,29,19,37,39,56,174.1007,295.9825,6.3793,1888.1644,104.898,0.0987
great_tables/_formats.py,funcao,fmt_duration_context,13,34,24,46,47,70,221.0795,388.8212,8.7941,3419.3395,189.9633,0.1296
great_tables/_formats.py,funcao,_trim_duration_parts,7,13,12,20,20,32,67.7572,138.3017,5.3846,744.7015,41.3723,0.0461
great_tables/_formats.py,funcao,_format_number_for_duration,3,5,4,6,8,10,16.3645,30.0,1.8,54.0,3.0,0.01
great_tables/_formats.py,funcao,_format_duration_narrow,3,12,7,15,15,22,47.7744,85.9516,1.875,161.1592,8.9533,0.0287
great_tables/_formats.py,funcao,_format_duration_wide,3,13,8,17,16,25,52.8606,100.0,1.9615,196.1538,10.8974,0.0333
great_tables/_formats.py,funcao,_format_duration_iso,3,7,5,9,10,14,24.4064,46.507,1.9286,89.6921,4.9829,0.0155
great_tables/_formats.py,funcao,_format_duration_colon_sep,8,22,16,31,30,47,122.1075,230.6239,5.6364,1299.8799,72.2156,0.0769
great_tables/_formats.py,funcao,fmt_date,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,fmt_date_context,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
great_tables/_formats.py,funcao,fmt_time,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,fmt_time_context,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
great_tables/_formats.py,funcao,fmt_datetime,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,fmt_datetime_context,4,7,5,10,11,15,27.6515,51.8915,2.8571,148.2614,8.2367,0.0173
great_tables/_formats.py,funcao,fmt_tf,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,fmt_tf_context,7,21,16,30,28,46,111.8902,221.1383,5.0,1105.6916,61.4273,0.0737
great_tables/_formats.py,funcao,_check_colors,4,7,4,7,11,11,27.6515,38.0537,2.0,76.1075,4.2282,0.0127
great_tables/_formats.py,funcao,_get_tf_vals,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
great_tables/_formats.py,funcao,from_list,1,6,3,6,7,9,15.5098,25.2662,0.5,12.6331,0.7018,0.0084
great_tables/_formats.py,funcao,get_color,2,7,4,8,9,12,21.6515,38.0391,1.1429,43.4733,2.4152,0.0127
great_tables/_formats.py,funcao,fmt_markdown,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,fmt_markdown_context,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,fmt_units,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_value_to_decimal_notation,5,10,7,14,15,21,44.8289,82.0447,3.5,287.1565,15.9531,0.0273
great_tables/_formats.py,funcao,_value_to_scientific_notation,1,8,4,8,9,12,24.0,38.0391,0.5,19.0196,1.0566,0.0127
great_tables/_formats.py,funcao,_format_number_n_sigfig,6,20,13,26,26,39,101.9483,183.3171,3.9,714.9369,39.7187,0.0611
great_tables/_formats.py,funcao,_format_number_fixed_decimals,8,20,14,28,28,42,110.4386,201.9089,5.6,1130.6899,62.8161,0.0673
great_tables/_formats.py,funcao,_format_number_compactly,4,7,5,10,11,15,27.6515,51.8915,2.8571,148.2614,8.2367,0.0173
great_tables/_formats.py,funcao,_expand_exponential_to_full_string,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_get_number_profile,9,18,18,33,27,51,103.588,242.4993,8.25,2000.6189,111.1455,0.0808
great_tables/_formats.py,funcao,_get_sci_parts,3,5,4,7,8,11,16.3645,33.0,2.1,69.3,3.85,0.011
great_tables/_formats.py,funcao,_insert_decimal_mark,8,20,19,35,28,54,110.4386,259.5972,7.0,1817.1802,100.9545,0.0865
great_tables/_formats.py,funcao,_listify,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_formats.py,funcao,_has_negative_value,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_has_positive_value,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_has_zero_value,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_has_sci_order_zero,8,13,10,19,21,29,72.1057,127.3772,5.8462,744.6667,41.3704,0.0425
great_tables/_formats.py,funcao,_context_exp_marks,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
great_tables/_formats.py,funcao,_context_exp_str,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_context_minus_mark,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_context_percent_mark,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_context_dollar_mark,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_replace_minus,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_remove_minus,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_filter_pd_df_to_row,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_formats.py,funcao,_get_locale_sep_mark,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
great_tables/_formats.py,funcao,_get_locale_dec_mark,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_formats.py,funcao,_get_locales_list,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_formats.py,funcao,_validate_locale,3,7,4,8,10,12,24.4064,39.8631,1.7143,68.3368,3.7965,0.0133
great_tables/_formats.py,funcao,_normalize_locale,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_formats.py,funcao,_resolve_locale,3,6,5,10,9,15,20.2647,47.5489,2.5,118.8722,6.604,0.0158
great_tables/_formats.py,funcao,_get_locale_currency_code,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
great_tables/_formats.py,funcao,_get_currency_str,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_formats.py,funcao,_validate_currency,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
